mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.018302345275878908,0.0029761774960322214,0.010599517822265625,0.002081607229816181,0.01,liblinear,"{'classifier__C': 0.01, 'classifier__solver': 'liblinear'}",0.6792929292929293,0.8665508950040075,0.8481164841036603,0.8067058509217206,0.874966604328079,0.8151265527300794,0.07188228126680697,9
0.02288084030151367,0.002426049586449652,0.01240544319152832,0.0019527467614270301,0.01,lbfgs,"{'classifier__C': 0.01, 'classifier__solver': 'lbfgs'}",0.6854066985645932,0.8581351856799359,0.8450440822869356,0.7982901415976489,0.8590702644937217,0.8091892745245671,0.06574237572320289,10
0.02226705551147461,0.0029243110138695936,0.012712717056274414,0.0004901964144324834,0.1,liblinear,"{'classifier__C': 0.1, 'classifier__solver': 'liblinear'}",0.7093301435406698,0.8777718407694363,0.8515896339834358,0.8419716804702111,0.874966604328079,0.8311259806183664,0.062399443587693344,8
0.02562990188598633,0.003962440167500012,0.009828853607177734,0.0021100349553372544,0.1,lbfgs,"{'classifier__C': 0.1, 'classifier__solver': 'lbfgs'}",0.7117224880382774,0.8784397542078547,0.8525247127972214,0.8413037670317927,0.8738979428266096,0.8315777329803511,0.061458442279154785,7
0.02344512939453125,0.002577537888674902,0.011774444580078125,0.0007923573314668086,1.0,liblinear,"{'classifier__C': 1, 'classifier__solver': 'liblinear'}",0.727538543328017,0.8713598717606199,0.8505209724819663,0.849853059043548,0.8757681004541811,0.8350081094136664,0.05476049046544329,5
0.035112619400024414,0.0037875754694019818,0.01313333511352539,0.0009355426490102527,1.0,lbfgs,"{'classifier__C': 1, 'classifier__solver': 'lbfgs'}",0.7271398192450824,0.8718942025113546,0.8501202244189153,0.8501202244189152,0.8755009350788138,0.8349550811346165,0.05494098433432917,6
0.02821826934814453,0.0015298329025922631,0.013117218017578125,0.0009046618178681015,10.0,liblinear,"{'classifier__C': 10, 'classifier__solver': 'liblinear'}",0.7307283359914938,0.8728292813251403,0.8473149879775581,0.8490515629174459,0.8757681004541811,0.8351384537331639,0.05350641448920087,4
0.03149433135986328,0.00720140642468376,0.011307859420776367,0.0027996552442670366,10.0,lbfgs,"{'classifier__C': 10, 'classifier__solver': 'lbfgs'}",0.7305954279638489,0.8732300293881913,0.8483836494790274,0.8495858936681806,0.8757681004541811,0.835512620190686,0.05369254006636952,2
0.029409265518188475,0.0021432035846299775,0.011089134216308593,0.001298031879736874,100.0,liblinear,"{'classifier__C': 100, 'classifier__solver': 'liblinear'}",0.7301967038809144,0.8755009350788139,0.8470478226021907,0.8486508148543948,0.877504675394069,0.8357801903620766,0.05433075618961261,1
0.029530906677246095,0.004450319267782629,0.008795738220214844,0.0028286357262671453,100.0,lbfgs,"{'classifier__C': 100, 'classifier__solver': 'lbfgs'}",0.7305954279638489,0.8726956986374566,0.8462463264760887,0.8495858936681806,0.8769703446433342,0.8352187382777817,0.05370619909923522,3
