Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.8605442176870748,0.6153846153846154,0.3404255319148936,0.4383561643835616,0.8115255405289,0.5836342531326222
Random Forest,0.8503401360544217,0.6363636363636364,0.14893617021276595,0.2413793103448276,0.7869756223619605,0.47077851888083155
XGBoost,0.8605442176870748,0.65,0.2765957446808511,0.3880597014925373,0.7382203462830562,0.4667792074170816
