Threshold,Precision,Recall,F1
0.1,0.31771894093686354,0.8210526315789474,0.4581497797356828
0.11,0.32688172043010755,0.8,0.46412213740458014
0.12,0.33710407239819007,0.7842105263157895,0.47151898734177217
0.13,0.357487922705314,0.7789473684210526,0.4900662251655629
0.13999999999999999,0.36989795918367346,0.7631578947368421,0.49828178694158076
0.14999999999999997,0.37894736842105264,0.7578947368421053,0.5052631578947369
0.15999999999999998,0.3875338753387534,0.7526315789473684,0.5116279069767442
0.16999999999999998,0.4005602240896359,0.7526315789473684,0.5228519195612431
0.17999999999999997,0.4046242774566474,0.7368421052631579,0.5223880597014925
0.18999999999999995,0.4212121212121212,0.7315789473684211,0.5346153846153846
0.19999999999999996,0.4391025641025641,0.7210526315789474,0.545816733067729
0.20999999999999996,0.4503311258278146,0.7157894736842105,0.5528455284552846
0.21999999999999995,0.45918367346938777,0.7105263157894737,0.5578512396694215
0.22999999999999995,0.4612676056338028,0.6894736842105263,0.5527426160337553
0.23999999999999994,0.4676258992805755,0.6842105263157895,0.5555555555555556
0.24999999999999992,0.47761194029850745,0.6736842105263158,0.5589519650655022
0.2599999999999999,0.4806201550387597,0.6526315789473685,0.5535714285714286
0.2699999999999999,0.4940239043824701,0.6526315789473685,0.562358276643991
0.2799999999999999,0.5061224489795918,0.6526315789473685,0.5701149425287356
0.2899999999999999,0.5166666666666667,0.6526315789473685,0.5767441860465117
0.29999999999999993,0.5260869565217391,0.6368421052631579,0.5761904761904761
0.30999999999999994,0.536036036036036,0.6263157894736842,0.5776699029126213
0.3199999999999999,0.5488372093023256,0.6210526315789474,0.582716049382716
0.32999999999999985,0.5576923076923077,0.6105263157894737,0.5829145728643216
0.33999999999999986,0.5615763546798029,0.6,0.5801526717557252
0.34999999999999987,0.5743589743589743,0.5894736842105263,0.5818181818181818
0.3599999999999999,0.581151832460733,0.5842105263157895,0.5826771653543307
0.3699999999999999,0.5851063829787234,0.5789473684210527,0.582010582010582
0.3799999999999999,0.6043956043956044,0.5789473684210527,0.5913978494623656
0.3899999999999999,0.6184971098265896,0.5631578947368421,0.5895316804407713
0.3999999999999998,0.6227544910179641,0.5473684210526316,0.5826330532212886
0.4099999999999998,0.6358024691358025,0.5421052631578948,0.5852272727272727
0.4199999999999998,0.6493506493506493,0.5263157894736842,0.5813953488372093
0.4299999999999998,0.6490066225165563,0.5157894736842106,0.5747800586510264
0.43999999999999984,0.6689655172413793,0.5105263157894737,0.5791044776119403
0.44999999999999984,0.676056338028169,0.5052631578947369,0.5783132530120482
0.45999999999999985,0.6911764705882353,0.49473684210526314,0.5766871165644172
0.46999999999999986,0.6923076923076923,0.47368421052631576,0.5625
0.47999999999999976,0.6991869918699187,0.45263157894736844,0.549520766773163
0.48999999999999977,0.7049180327868853,0.45263157894736844,0.5512820512820513
0.4999999999999998,0.7142857142857143,0.4473684210526316,0.5501618122977346
0.5099999999999998,0.7433628318584071,0.4421052631578947,0.5544554455445545
0.5199999999999998,0.7522935779816514,0.43157894736842106,0.5484949832775919
0.5299999999999998,0.7428571428571429,0.4105263157894737,0.5288135593220339
0.5399999999999998,0.7428571428571429,0.4105263157894737,0.5288135593220339
0.5499999999999998,0.7450980392156863,0.4,0.5205479452054794
0.5599999999999997,0.7448979591836735,0.38421052631578945,0.5069444444444444
0.5699999999999997,0.7604166666666666,0.38421052631578945,0.5104895104895105
0.5799999999999997,0.7659574468085106,0.37894736842105264,0.5070422535211268
0.5899999999999997,0.7741935483870968,0.37894736842105264,0.508833922261484
0.5999999999999998,0.7912087912087912,0.37894736842105264,0.5124555160142349
0.6099999999999998,0.7906976744186046,0.35789473684210527,0.4927536231884058
0.6199999999999998,0.788235294117647,0.3526315789473684,0.48727272727272725
0.6299999999999997,0.7901234567901234,0.3368421052631579,0.47232472324723246
0.6399999999999997,0.810126582278481,0.3368421052631579,0.4758364312267658
0.6499999999999997,0.8076923076923077,0.33157894736842103,0.4701492537313433
0.6599999999999997,0.8051948051948052,0.3263157894736842,0.46441947565543074
0.6699999999999997,0.8133333333333334,0.32105263157894737,0.46037735849056605
0.6799999999999997,0.8055555555555556,0.30526315789473685,0.44274809160305345
0.6899999999999997,0.8235294117647058,0.29473684210526313,0.43410852713178294
0.6999999999999996,0.8225806451612904,0.26842105263157895,0.40476190476190477
0.7099999999999996,0.8305084745762712,0.2578947368421053,0.39357429718875503
0.7199999999999996,0.8148148148148148,0.23157894736842105,0.36065573770491804
0.7299999999999996,0.803921568627451,0.21578947368421053,0.34024896265560167
0.7399999999999997,0.8,0.21052631578947367,0.3333333333333333
0.7499999999999997,0.8125,0.20526315789473684,0.3277310924369748
0.7599999999999997,0.8478260869565217,0.20526315789473684,0.3305084745762712
0.7699999999999997,0.8666666666666667,0.20526315789473684,0.33191489361702126
0.7799999999999997,0.8947368421052632,0.17894736842105263,0.2982456140350877
0.7899999999999996,0.8918918918918919,0.1736842105263158,0.2907488986784141
0.7999999999999996,0.8857142857142857,0.1631578947368421,0.27555555555555555
0.8099999999999996,0.967741935483871,0.15789473684210525,0.27149321266968324
0.8199999999999996,1.0,0.1368421052631579,0.24074074074074073
0.8299999999999996,1.0,0.1368421052631579,0.24074074074074073
0.8399999999999996,1.0,0.13157894736842105,0.23255813953488372
0.8499999999999996,1.0,0.13157894736842105,0.23255813953488372
0.8599999999999995,1.0,0.11052631578947368,0.1990521327014218
0.8699999999999996,1.0,0.1,0.18181818181818182
0.8799999999999996,1.0,0.09473684210526316,0.17307692307692307
0.8899999999999996,1.0,0.09473684210526316,0.17307692307692307
0.8999999999999996,1.0,0.07368421052631578,0.13725490196078433
