Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Tuned Logistic Regression,0.8571428571428571,0.5925925925925926,0.3404255319148936,0.43243243243243246,0.8071323972779739,0.5644268561292536
Tuned Random Forest,0.8333333333333334,0.4,0.0851063829787234,0.14035087719298245,0.7751744336290809,0.44645523454669606
Tuned XGBoost,0.8605442176870748,0.65,0.2765957446808511,0.3880597014925373,0.781979498664829,0.49732141335199287
Tuned Logistic Regression - Threshold 0.38,0.8435374149659864,0.5121951219512195,0.44680851063829785,0.4772727272727273,0.8071323972779739,0.5644268561292536
